GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US26,26,Michigan,0.4624,0.0012
1600000US2600380,2600380,"Addison village, Michigan",0.3645,0.0529
1600000US2600440,2600440,"Adrian city, Michigan",0.4680,0.0275
1600000US2600480,2600480,"Advance CDP, Michigan",0.3159,0.0392
1600000US2600620,2600620,"Ahmeek village, Michigan",0.4490,0.0819
1600000US2600700,2600700,"Akron village, Michigan",0.3970,0.0612
1600000US2600860,2600860,"Alanson village, Michigan",0.3672,0.0429
1600000US2600900,2600900,"Alba CDP, Michigan",0.3022,0.0983
1600000US2600980,2600980,"Albion city, Michigan",0.4491,0.0211
1600000US2601060,2601060,"Alden CDP, Michigan",0.2768,0.0874
1600000US2601180,2601180,"Algonac city, Michigan",0.4711,0.0579
1600000US2601260,2601260,"Allegan city, Michigan",0.3962,0.0475
1600000US2601300,2601300,"Allen village, Michigan",0.3229,0.0624
1600000US2601340,2601340,"Allendale CDP, Michigan",0.4465,0.0344
1600000US2601380,2601380,"Allen Park city, Michigan",0.3824,0.0167
1600000US2601540,2601540,"Alma city, Michigan",0.4607,0.0343
1600000US2601660,2601660,"Almont village, Michigan",0.3910,0.0309
1600000US2601740,2601740,"Alpena city, Michigan",0.4609,0.0309
1600000US2601800,2601800,"Alpha village, Michigan",0.3308,0.1020
1600000US2601960,2601960,"Amasa CDP, Michigan",0.4116,0.0484
1600000US2603000,2603000,"Ann Arbor city, Michigan",0.5048,0.0093
1600000US2603200,2603200,"Applegate village, Michigan",0.3542,0.0586
1600000US2603300,2603300,"Arcadia CDP, Michigan",0.4363,0.0687
1600000US2603400,2603400,"Argentine CDP, Michigan",0.4142,0.0449
1600000US2603520,2603520,"Armada village, Michigan",0.3704,0.0342
1600000US2603740,2603740,"Ashley village, Michigan",0.3990,0.0540
1600000US2603880,2603880,"Athens village, Michigan",0.3392,0.0278
1600000US2603920,2603920,"Atlanta CDP, Michigan",0.4221,0.0667
1600000US2604020,2604020,"Attica CDP, Michigan",0.4194,0.0767
1600000US2604080,2604080,"Auburn city, Michigan",0.3950,0.0301
1600000US2604105,2604105,"Auburn Hills city, Michigan",0.4003,0.0152
1600000US2604120,2604120,"Au Gres city, Michigan",0.4572,0.0366
1600000US2604160,2604160,"Augusta village, Michigan",0.3946,0.0472
1600000US2604280,2604280,"Au Sable CDP, Michigan",0.3521,0.0305
1600000US2604740,2604740,"Bad Axe city, Michigan",0.4245,0.0314
1600000US2604940,2604940,"Baldwin village, Michigan",0.5533,0.0689
1600000US2605080,2605080,"Bancroft village, Michigan",0.3518,0.0447
1600000US2605140,2605140,"Bangor city, Michigan",0.4251,0.0337
1600000US2605320,2605320,"Baraga village, Michigan",0.4461,0.0412
1600000US2605470,2605470,"Barnes Lake-Millers Lake CDP, Michigan",0.3980,0.0705
1600000US2605500,2605500,"Baroda village, Michigan",0.4005,0.0494
1600000US2605580,2605580,"Barryton village, Michigan",0.4362,0.0426
1600000US2605660,2605660,"Barton Hills village, Michigan",0.5041,0.0832
1600000US2605880,2605880,"Bath CDP, Michigan",0.3264,0.0388
1600000US2605920,2605920,"Battle Creek city, Michigan",0.4830,0.0194
1600000US2606020,2606020,"Bay City city, Michigan",0.4577,0.0305
1600000US2606120,2606120,"Bay Port CDP, Michigan",0.4911,0.0721
1600000US2606180,2606180,"Bay Shore CDP, Michigan",0.4102,0.0562
1600000US2606260,2606260,"Bay View CDP, Michigan",0.4159,0.1676
1600000US2606360,2606360,"Beal City CDP, Michigan",0.3211,0.0529
1600000US2606430,2606430,"Bear Lake CDP, Michigan",0.4420,0.0733
1600000US2606460,2606460,"Bear Lake village, Michigan",0.3608,0.0612
1600000US2606660,2606660,"Beaverton city, Michigan",0.4459,0.0476
1600000US2606820,2606820,"Beecher CDP, Michigan",0.4251,0.0311
1600000US2606880,2606880,"Beechwood CDP, Michigan",0.4075,0.0759
1600000US2606900,2606900,"Belding city, Michigan",0.4420,0.0369
1600000US2606980,2606980,"Bellaire village, Michigan",0.4236,0.0524
1600000US2607020,2607020,"Belleville city, Michigan",0.4423,0.0371
1600000US2607060,2607060,"Bellevue village, Michigan",0.3761,0.0313
1600000US2607220,2607220,"Bendon CDP, Michigan",0.4249,0.0860
1600000US2607520,2607520,"Benton Harbor city, Michigan",0.4478,0.0251
1600000US2607540,2607540,"Benton Heights CDP, Michigan",0.3962,0.0432
1600000US2607580,2607580,"Benzonia village, Michigan",0.3397,0.0594
1600000US2607660,2607660,"Berkley city, Michigan",0.3852,0.0270
1600000US2607860,2607860,"Berrien Springs village, Michigan",0.4866,0.0646
1600000US2607960,2607960,"Bessemer city, Michigan",0.5007,0.0822
1600000US2608100,2608100,"Beulah village, Michigan",0.3921,0.0625
1600000US2608160,2608160,"Beverly Hills village, Michigan",0.4372,0.0306
1600000US2608180,2608180,"Big Bay CDP, Michigan",0.4759,0.1089
1600000US2608300,2608300,"Big Rapids city, Michigan",0.5238,0.0334
1600000US2608460,2608460,"Bingham Farms village, Michigan",0.4630,0.0469
1600000US2608540,2608540,"Birch Run village, Michigan",0.3764,0.0330
1600000US2608640,2608640,"Birmingham city, Michigan",0.5021,0.0165
1600000US2609000,2609000,"Blissfield village, Michigan",0.4026,0.0335
1600000US2609180,2609180,"Bloomfield Hills city, Michigan",0.5149,0.0485
1600000US2609220,2609220,"Bloomingdale village, Michigan",0.3935,0.0420
1600000US2609560,2609560,"Boon CDP, Michigan",0.2958,0.0780
1600000US2609820,2609820,"Boyne City city, Michigan",0.4339,0.0272
1600000US2609840,2609840,"Boyne Falls village, Michigan",0.3099,0.0472
1600000US2610160,2610160,"Breckenridge village, Michigan",0.4171,0.0365
1600000US2610180,2610180,"Breedsville village, Michigan",0.3701,0.1331
1600000US2610300,2610300,"Brethren CDP, Michigan",0.3196,0.0463
1600000US2610440,2610440,"Bridgeport CDP, Michigan",0.3948,0.0280
1600000US2610580,2610580,"Bridgman city, Michigan",0.4410,0.0418
1600000US2610620,2610620,"Brighton city, Michigan",0.3928,0.0250
1600000US2610760,2610760,"Britton village, Michigan",0.3947,0.0565
1600000US2610860,2610860,"Bronson city, Michigan",0.3963,0.0444
1600000US2611000,2611000,"Brooklyn village, Michigan",0.4273,0.0354
1600000US2611180,2611180,"Brown City city, Michigan",0.4390,0.0445
1600000US2611200,2611200,"Brownlee Park CDP, Michigan",0.3958,0.0358
1600000US2611380,2611380,"Brutus CDP, Michigan",0.3432,0.0474
1600000US2611400,2611400,"Buchanan city, Michigan",0.4449,0.0389
1600000US2611480,2611480,"Buckley village, Michigan",0.3555,0.0490
1600000US2611555,2611555,"Buena Vista CDP, Michigan",0.4476,0.0332
1600000US2611800,2611800,"Burlington village, Michigan",0.3536,0.0612
1600000US2611920,2611920,"Burr Oak village, Michigan",0.3845,0.1112
1600000US2612000,2612000,"Burt CDP, Michigan",0.3715,0.0581
1600000US2612060,2612060,"Burton city, Michigan",0.4538,0.0329
1600000US2612260,2612260,"Byron village, Michigan",0.3674,0.0527
1600000US2612280,2612280,"Byron Center CDP, Michigan",0.4360,0.0458
1600000US2612290,2612290,"Caberfae CDP, Michigan",0.5615,0.2098
1600000US2612320,2612320,"Cadillac city, Michigan",0.4434,0.0482
1600000US2612480,2612480,"Caledonia village, Michigan",0.4296,0.0725
1600000US2612580,2612580,"Calumet village, Michigan",0.5381,0.0470
1600000US2612760,2612760,"Camden village, Michigan",0.3807,0.0471
1600000US2612980,2612980,"Canada Creek Ranch CDP, Michigan",0.2745,0.0455
1600000US2613010,2613010,"Canadian Lakes CDP, Michigan",0.3503,0.0394
1600000US2613140,2613140,"Capac village, Michigan",0.3941,0.0337
1600000US2613220,2613220,"Carleton village, Michigan",0.4522,0.0564
1600000US2613400,2613400,"Carney village, Michigan",0.4115,0.0688
1600000US2613420,2613420,"Caro city, Michigan",0.4513,0.0348
1600000US2613480,2613480,"Carp Lake CDP, Michigan",0.2783,0.0752
1600000US2613600,2613600,"Carson City city, Michigan",0.4390,0.0354
